KODE NAMA PT,Terakhir,%Perubahan,Perrubahan,Penialain,Volume,Cap Pasar,P/E,EPS(TTM),Pegawai,Jenis Industri
" KEJU MULIA BOGA RAYA TBK. ",770.00,2.67%,20.00,Pembelian,5.600K,1155.000B,—,—,417.00,Makanan: Daging/Ikan/Susu
" KINO KINO INDONESIA TBK. ",2210.00,7.80%,160.00,Penjualan,4.978M,2821.430B,5.69,344.21,6459.00,Perawatan Rumah Tangga/Pribadi
" MBTO MARTINA BERTO TBK. ",72.00,0.00%,0.00,Penjualan,1.200K,71.690B,—,-62.57,576.00,Perawatan Rumah Tangga/Pribadi
" MICE MULTI INDOCITRA TBK. ",340.00,0.00%,0.00,Pembelian,2.000K,196.490B,6.07,56.04,402.00,Perawatan Rumah Tangga/Pribadi
" MLBI MULTI BINTANG INDONESIA TBK. ",11275.00,0.00%,0.00,Penjualan,69.000K,22860.900B,18.96,572.26,161.00,Minuman: Beralkohol
" MYOR MAYORA INDAH TBK. ",1875.00,-0.79%,-15.00,Pembelian,2.899M,40916.400B,23.63,76.58,—,Makanan: Khusus/Permen
" PCAR PRIMA CAKRAWALA ABADI TBK. ",222.00,-6.72%,-16.00,Penjualan,3.100K,284.667B,—,-9.17,116.00,Makanan: Daging/Ikan/Susu
" PSGO PALMA SERASIH TBK. ",109.00,0.00%,0.00,Penjualan,43.700K,2016.950B,—,—,1.28,Makanan: Khusus/Permen
" RICY RICKY PUTRA GLOBALINDO TBK ",117.00,-6.40%,-8.00,Penjualan Kuat,613.700K,85.348B,5.84,21.91,—,Pakaian/Alas Kaki
" RMBA BENTOEL INTERNASIONAL INVESTAMA TBK. ",250.00,-4.58%,-12.00,Penjualan Kuat,12.600K,9173.080B,—,-4.76,4749.00,Tembakau
" ROTI NIPPON INDOSARI CORPINDO TBK. ",1265.00,0.40%,5.00,Pembelian,49.100K,7328.190B,24.55,49.29,3591.00,Makanan: Khusus/Permen
" SIDO INDUSTRI JAMU DAN FARMASI SIDO MUNCUL TBK. ",1245.00,-4.60%,-60.00,Pembelian,9.893M,16447.200B,21.56,54.26,2755.00,Perawatan Rumah Tangga/Pribadi
" SKBM SEKAR BUMI TBK. ",322.00,-6.94%,-24.00,Penjualan,2.500K,683.496B,276.50,1.43,1027.00,Makanan: Daging/Ikan/Susu
" SRSN INDO ACIDATAMA TBK ",64.00,1.59%,1.00,Pembelian,1.671M,361.200B,8.57,7.11,304.00,Pakaian/Alas Kaki
" STTP SIANTAR TOP TBK. ",9525.00,-2.81%,-275.00,Pembelian,300,9333.750B,24.75,330.34,2110.00,Makanan: Diversifikasi Utama
" TCID MANDOM INDONESIA TBK. ",9300.00,0.27%,25.00,Penjualan,200,1864.900B,12.85,721.90,4951.00,Perawatan Rumah Tangga/Pribadi
" TRIS TRISULA INTERNATIONAL TBK. ",254.00,-0.78%,-2.00,Penjualan,143.900K,929.671B,55.31,5.35,3149.00,Pakaian/Alas Kaki
" ULTJ ULTRA JAYA MILK INDUSTRY & TRADING COMPANY, TBK. ",1410.00,1.44%,20.00,Penjualan,250.500K,17156.900B,15.61,89.35,1097.00,Makanan: Daging/Ikan/Susu
" UNVR UNILEVER INDONESIA TBK. ",7275.00,-0.34%,-25.00,Pembelian,11.885M,272773.000B,37.28,193.78,5433.00,Perawatan Rumah Tangga/Pribadi
" WAPO WAHANA PRONATURAL TBK. ",80.00,14.29%,10.00,Penjualan,17.300K,91.828B,—,-4.51,8.00,Makanan: Khusus/Permen
" WIIM WISMILAK INTI MAKMUR TBK. ",108.00,-3.57%,-4.00,Netral,5.605M,170.089B,5.67,16.77,4021.00,Tembakau
" YPAS YANAPRIMA HASTAPERSADA TBK ",240.00,-4.76%,-12.00,Penjualan,600,150.968B,45.95,5.22,146.00,Pakaian/Alas Kaki
" ABBA MAHAKA MEDIA TBK. ",55.00,-1.79%,-1.00,Pembelian,26.824M,137.756B,—,-6.43,721.00,Percetakan: Koran
" ARTA ARTHAVEST TBK ",400.00,-6.54%,-28.00,Pembelian,7.200K,178.670B,37.29,11.48,163.00,Hotel/Resor/Pelayaran
" BAYU BAYU BUANA TBK ",1195.00,20.10%,200.00,Pembelian,100,340.858B,7.76,128.23,556.00,Layanan Konsumen Lainnya
" BHIT MNC INVESTAMA TBK. ",54.00,5.88%,3.00,Pembelian,25.866M,3352.750B,2.65,18.85,13867.00,Penyiaran
" BMTR GLOBAL MEDIACOM TBK. ",232.00,8.41%,18.00,Penjualan,49.474M,2846.050B,2.11,93.91,11176.00,Penyiaran
" BOLA BALI BINTANG SEJAHTERA TBK. ",150.00,0.00%,0.00,Penjualan,8.100K,900.000B,—,—,56.00,Film/Hiburan
" BUVA BUKIT ULUWATU VILLA TBK. ",56.00,0.00%,0.00,Penjualan,13.800K,395.054B,13.67,4.10,401.00,Hotel/Resor/Pelayaran
" EAST EASTPARC HOTEL TBK. ",58.00,0.00%,0.00,Penjualan,4.522M,—,—,—,—,Hotel/Resor/Pelayaran
" FAST FAST FOOD INDONESIA TBK. ",1030.00,0.98%,10.00,Penjualan,6.800K,4050.080B,6.96,145.82,16162.00,Restoran
" FILM MD PICTURES TBK. ",150.00,-3.85%,-6.00,Penjualan Kuat,596.500K,1474.240B,26.48,5.74,23.00,Film/Hiburan
" FITT HOTEL FITRA INTERNATIONAL TBK. ",58.00,-1.69%,-1.00,Pembelian,16.500K,32.400B,—,—,71.00,Hotel/Resor/Pelayaran
