KODE NAMA PT,Terakhir,%Perubahan,Perrubahan,Penialain,Volume,Cap Pasar,P/E,EPS(TTM),Pegawai,Jenis Industri
" SRTG SARATOGA INVESTAMA SEDAYA TBK. ",2900.00,0.00%,0.00,Penjualan,102.300K,8947.350B,1.14,2717.83,58.00,Dana Investasi/Reksa Dana
" AKKU ANUGERAH KAGUM KARYA UTAMA TBK. ",50.00,0.00%,0.00,Penjualan,800,322.473B,—,-2.14,50.00,Logam/Mineral Lainnya
" ALKA ALAKASA INDUSTRINDO TBK ",366.00,-3.68%,-14.00,Pembelian,400,200.020B,17.77,22.17,—,Aluminum
" ALMI ALUMINDO LIGHT METAL INDUSTRY TBK. ",197.00,1.03%,2.00,Penjualan,7.100K,128.128B,—,-250.72,—,Aluminum
" ANTM ANEKA TAMBANG TBK. ",555.00,2.78%,15.00,Pembelian,256.414M,10477.400B,13.50,33.48,3637.00,Logam Berharga
" BAJA SARANACENTRAL BAJATAMA TBK. ",54.00,-1.82%,-1.00,Penjualan,749.900K,100.800B,—,-26.78,230.00,Baja
" BRPT BARITO PACIFIC TBK. ",985.00,-1.50%,-15.00,Pembelian,87.886M,65943.100B,121.65,7.10,3400.00,Produk-Produk Kehutanan
" BTON BETONJAYA MANUNGGAL TBK. ",170.00,0.59%,1.00,Pembelian,120.600K,90.000B,27.74,4.69,66.00,Baja
" DKFT CENTRAL OMEGA RESOURCES TBK. ",99.00,-2.94%,-3.00,Netral,4.751M,454.300B,44.03,1.95,815.00,Logam/Mineral Lainnya
" DSNG DHARMA SATYA NUSANTARA TBK. ",338.00,0.60%,2.00,Penjualan,967.300K,3493.370B,16.93,19.49,17391.00,Produk-Produk Kehutanan
" GDST GUNAWAN DIANJAYA STEEL TBK. ",56.00,-1.75%,-1.00,Penjualan,591.300K,489.824B,—,-1.91,730.00,Baja
" GGRP GUNUNG RAJA PAKSI TBK. ",280.00,2.19%,6.00,Penjualan,300,3536.530B,—,—,4896.00,Baja
" IFII INDONESIA FIBREBOARD INDUSTRY TBK. ",139.00,-2.11%,-3.00,Penjualan,14.400K,1355.330B,—,—,428.00,Produk-Produk Kehutanan
" IFSH IFISHDECO TBK. ",356.00,-3.78%,-14.00,Penjualan Kuat,1.100K,—,—,—,—,Logam/Mineral Lainnya
" INAI INDAL ALUMINIUM INDUSTRY TBK. ",374.00,-6.50%,-26.00,Penjualan,1.900K,215.424B,6.83,55.08,—,Aluminum
" INCO VALE INDONESIA TBK. ",2310.00,-6.10%,-150.00,Pembelian,13.994M,20170.800B,27.27,81.03,3044.00,Logam/Mineral Lainnya
" INTP INDOCEMENT TUNGGAL PRAKARSA TBK. ",12400.00,-4.25%,-550.00,Penjualan,4.128M,47671.900B,25.97,498.56,5246.00,Material Konstruksi
" KAYU DARMI BERSAUDARA TBK. ",53.00,6.00%,3.00,Pembelian,22.801M,—,—,—,—,Produk-Produk Kehutanan
" KRAS KRAKATAU STEEL (PERSERO) TBK. ",179.00,-2.19%,-4.00,Penjualan,9.538M,2805.230B,—,-183.71,6475.00,Baja
" OKAS ANCORA INDONESIA RESOURCES TBK. ",54.00,-5.26%,-3.00,Penjualan Kuat,846.000K,114.785B,—,-9.26,535.00,Logam Berharga
" PSAB J RESOURCES ASIA PASIFIK TBK. ",222.00,12.69%,25.00,Pembelian,149.179M,5106.780B,21.40,9.11,2422.00,Logam Berharga
" SMBR SEMEN BATURAJA (PERSERO) TBK. ",246.00,0.82%,2.00,Penjualan,9.712M,1966.640B,37.73,5.83,761.00,Material Konstruksi
" SMGR SEMEN INDONESIA (PERSERO) TBK. ",8100.00,-0.31%,-25.00,Penjualan,7.242M,45672.700B,18.60,403.29,11518.00,Material Konstruksi
" SULI SLJ GLOBAL TBK. ",50.00,0.00%,0.00,Penjualan,5.000K,199.346B,—,-32.84,304.00,Produk-Produk Kehutanan
" TINS TIMAH TBK. ",525.00,1.94%,10.00,Pembelian,40.021M,3083.370B,32.76,13.43,4514.00,Logam/Mineral Lainnya
" TIRT TIRTA MAHAKAM RESOURCES TBK ",57.00,0.00%,0.00,Pembelian,18.100K,57.671B,—,-26.88,1127.00,Produk-Produk Kehutanan
" WSBP WASKITA BETON PRECAST TBK. ",171.00,-1.16%,-2.00,Penjualan,191.299M,3113.520B,4.22,32.25,1366.00,Material Konstruksi
" AALI ASTRA AGRO LESTARI TBK. ",6600.00,9.09%,550.00,Penjualan,5.639M,10152.700B,48.55,109.69,35245.00,Komoditas/Penggilingan Agrikultur
" ADMG POLYCHEM INDONESIA TBK ",105.00,-4.55%,-5.00,Pembelian,706.400K,377.250B,—,-110.85,1545.00,Tekstil
" AKPI ARGHA KARYA PRIMA INDUSTRY TBK. ",310.00,-3.12%,-10.00,Penjualan,600,156.735B,2.63,113.20,968.00,Kontener/Kemasan
" AKRA AKR CORPORINDO TBK. ",2150.00,0.00%,0.00,Netral,33.630M,7748.350B,10.77,178.20,1899.00,Bahan Kimia: Khusus
" ALDO ALKINDO NARATAMA TBK. ",438.00,-0.45%,-2.00,Netral,1.100K,481.800B,8.40,52.36,321.00,Pulp & Kertas
" AMFG ASAHIMAS FLAT GLASS TBK. ",2250.00,-1.32%,-30.00,Penjualan,24.300K,1011.220B,—,—,2841.00,Spesialisasi Industri
" ANDI ANDIRA AGRO TBK. ",50.00,0.00%,0.00,Penjualan,17.000K,467.500B,40.96,1.22,197.00,Komoditas/Penggilingan Agrikultur
" ANJT AUSTINDO NUSANTARA JAYA TBK. ",515.00,0.00%,0.00,Penjualan,2.000K,1887.560B,—,-18.25,7089.00,Komoditas/Penggilingan Agrikultur
" APLI ASIAPLAST INDUSTRIES TBK. ",134.00,0.00%,0.00,Penjualan,10.000K,182.598B,—,-5.03,398.00,Spesialisasi Industri
" ARGO ARGO PANTES TBK ",825.00,0.00%,0.00,Penjualan Kuat,300,276.835B,—,-585.87,872.00,Tekstil
" AYLS AGRO YASA LESTARI TBK. ",51.00,0.00%,0.00,Penjualan,3.091M,—,—,—,—,Tekstil
" BEEF ESTIKA TATA TIARA TBK. ",234.00,-2.50%,-6.00,Penjualan,1.730M,403.242B,8.13,27.07,174.00,Komoditas/Penggilingan Agrikultur
" BISI BISI INTERNATIONAL TBK. ",780.00,7.59%,55.00,Pembelian,447.700K,2175.000B,7.05,102.77,702.00,Komoditas/Penggilingan Agrikultur
" BRAM INDO KORDSA TBK. ",3950.00,0.00%,0.00,Penjualan,100,1777.500B,9.31,424.50,1448.00,Tekstil
" BRNA BERLINA TBK. ",1025.00,10.22%,95.00,Penjualan,1.000K,979.110B,—,-126.93,—,Kontener/Kemasan
" BTEK BUMI TEKNOKULTURA UNGGUL TBK ",50.00,0.00%,0.00,Penjualan,1.200K,2313.870B,—,-0.40,379.00,Komoditas/Penggilingan Agrikultur
" BWPT EAGLE HIGH PLANTATIONS TBK. ",84.00,0.00%,0.00,Pembelian,39.325M,2143.720B,—,-30.42,1017.00,Komoditas/Penggilingan Agrikultur
" CLPI COLORPAK INDONESIA TBK. ",645.00,13.16%,75.00,Pembelian,82.800K,150.719B,4.58,117.97,105.00,Spesialisasi Industri
" CNTX CENTURY TEXTILE INDUSTRY TBK. ",244.00,-2.40%,-6.00,Penjualan,2.000K,50.400B,—,-129.36,401.00,Tekstil
" CPIN CHAROEN POKPHAND INDONESIA TBK ",4880.00,0.83%,40.00,Penjualan,16.035M,77890.500B,21.99,222.42,6540.00,Komoditas/Penggilingan Agrikultur
" CPRO CENTRAL PROTEINA PRIMA TBK. ",50.00,0.00%,0.00,Penjualan,1.000K,2978.620B,—,-5.43,2105.00,Komoditas/Penggilingan Agrikultur
" CSRA CISADANE SAWIT RAYA TBK. ",344.00,-6.01%,-22.00,Penjualan,4.224M,—,—,—,—,Komoditas/Penggilingan Agrikultur
" DSFI DHARMA SAMUDERA FISHING INDUSTRIES TBK. ",79.00,-1.25%,-1.00,Penjualan,265.400K,146.714B,14.94,5.29,554.00,Komoditas/Penggilingan Agrikultur
" EKAD EKADHARMA INTERNATIONAL TBK. ",840.00,-1.18%,-10.00,Penjualan,175.900K,559.020B,7.78,106.68,478.00,Pulp & Kertas
" ERTX ERATEX DJAJA TBK. ",134.00,-0.74%,-1.00,Pembelian,10.400K,160.818B,10.73,12.49,8292.00,Tekstil
" FPNI LOTTE CHEMICAL TITAN TBK. ",80.00,-2.44%,-2.00,Pembelian,733.200K,406.348B,6.80,11.17,332.00,Bahan Kimia: Khusus
" GZCO GOZCO PLANTATIONS TBK. ",50.00,0.00%,0.00,Penjualan,100,300.000B,—,-97.09,1205.00,Komoditas/Penggilingan Agrikultur
" HOKI BUYUNG POETRA SEMBADA TBK. ",750.00,0.67%,5.00,Penjualan,22.666M,1622.690B,16.99,40.23,257.00,Komoditas/Penggilingan Agrikultur
" INCI INTANWIJAYA INTERNASIONAL TBK ",372.00,-1.06%,-4.00,Penjualan,26.300K,74.134B,7.19,51.75,139.00,Bahan Kimia: Khusus
" INDR INDO-RAMA SYNTHETICS TBK. ",2160.00,2.86%,60.00,Pembelian,232.400K,1128.760B,3.52,500.46,7502.00,Tekstil
" INKP INDAH KIAT PULP & PAPER TBK. ",5250.00,4.48%,225.00,Pembelian,11.387M,21883.900B,5.93,709.85,12000.00,Pulp & Kertas
" INOV INOCYCLE TECHNOLOGY GROUP TBK. ",302.00,0.67%,2.00,Pembelian,25.500K,542.466B,—,—,91.00,Tekstil
" INRU TOBA PULP LESTARI TBK. ",900.00,4.65%,40.00,Pembelian Kuat,100,1194.440B,—,-74.46,1105.00,Pulp & Kertas
" IPOL INDOPOLY SWAKARSA INDUSTRY TBK. ",61.00,-1.61%,-1.00,Pembelian,256.100K,341.499B,4.65,11.39,1222.00,Kontener/Kemasan
" JAWA JAYA AGRA WATTIE TBK. ",87.00,0.00%,0.00,Netral,200,328.398B,—,-95.02,1950.00,Komoditas/Penggilingan Agrikultur
" KDSI KEDAWUNG SETIA INDUSTRIAL TBK. ",760.00,0.66%,5.00,Penjualan,5.700K,281.475B,4.39,158.25,1557.00,Kontener/Kemasan
" KPAS COTTONINDO ARIESTA TBK. ",50.00,0.00%,0.00,Penjualan,400,38.402B,—,—,—,Komoditas/Penggilingan Agrikultur
" LSIP PP LONDON SUMATRA INDONESIA TBK. ",890.00,7.23%,60.00,Pembelian,33.588M,5353.670B,21.09,37.23,15278.00,Komoditas/Penggilingan Agrikultur
" MAIN MALINDO FEEDMILL TBK. ",510.00,0.99%,5.00,Penjualan,12.668M,944.752B,3.51,131.07,3499.00,Komoditas/Penggilingan Agrikultur
" MDKI EMDEKI UTAMA TBK. ",168.00,1.82%,3.00,Penjualan,26.400K,440.246B,13.33,12.83,295.00,Bahan Kimia: Khusus
" MGRO MAHKOTA GROUP TBK. ",640.00,-0.78%,-5.00,Penjualan,1.469M,2239.300B,34.49,17.97,—,Komoditas/Penggilingan Agrikultur
" MLIA MULIA INDUSTRINDO TBK ",615.00,-0.81%,-5.00,Pembelian,4.847M,759.208B,6.69,95.60,3298.00,Spesialisasi Industri
" MYTX ASIA PACIFIC INVESTAMA TBK. ",52.00,-1.89%,-1.00,Penjualan Kuat,29.200K,488.079B,—,—,4191.00,Tekstil
" PALM PROVIDENT AGRO TBK. ",220.00,-6.78%,-16.00,Pembelian,200,1401.020B,—,-9.99,688.00,Komoditas/Penggilingan Agrikultur
" PBRX PAN BROTHERS TBK. ",228.00,4.59%,10.00,Penjualan,1.461M,1373.400B,4.23,50.16,37283.00,Tekstil
" POLY ASIA PACIFIC FIBERS TBK ",50.00,0.00%,0.00,Penjualan,532.600K,115.655B,—,-67.44,3337.00,Tekstil
" PSDN PRASIDHA ANEKA NIAGA TBK ",123.00,5.13%,6.00,Penjualan,3.200K,178.560B,—,-37.13,1283.00,Komoditas/Penggilingan Agrikultur
" RDTX RODA VIVATEX TBK ",4700.00,0.00%,0.00,Penjualan,1.900K,1263.360B,5.11,920.02,199.00,Tekstil
" SAMF SARASWANTI ANUGERAH MAKMUR TBK. ",404.00,1.00%,4.00,—,1.147M,—,—,—,—,Bahan Kimia: Pertanian
" SGRO SAMPOERNA AGRO TBK. ",2490.00,0.00%,0.00,Pembelian Kuat,48.400K,4528.370B,134.40,18.23,8600.00,Komoditas/Penggilingan Agrikultur
" SIMP SALIM IVOMAS PRATAMA TBK. ",250.00,3.31%,8.00,Pembelian,9.889M,3286.280B,—,-35.23,37264.00,Komoditas/Penggilingan Agrikultur
" SIPD SIERAD PRODUCE TBK. ",840.00,-1.18%,-10.00,Penjualan,200,964.152B,13.83,52.05,1690.00,Komoditas/Penggilingan Agrikultur
" SMAR SMART TBK. ",2700.00,8.00%,200.00,Penjualan,6.200K,6950.700B,6.22,388.78,20953.00,Komoditas/Penggilingan Agrikultur
" SMKL SATYAMITRA KEMAS LESTARI TBK. ",184.00,0.00%,0.00,Penjualan,6.200K,625.600B,—,—,—,Kontener/Kemasan
" SPMA SUPARMA TBK. ",264.00,3.12%,8.00,Penjualan,20.800K,541.330B,4.13,61.95,707.00,Pulp & Kertas
" SRIL SRI REJEKI ISMAN TBK. ",170.00,3.66%,6.00,Pembelian,76.064M,2904.210B,2.42,60.64,18763.00,Tekstil
" SSTM SUNSON TEXTILE MANUFACTURE TBK ",420.00,-6.67%,-30.00,Penjualan Kuat,2.400K,526.909B,—,-10.25,1179.00,Tekstil
" SWAT SRIWAHANA ADITYAKARTA TBK. ",100.00,8.70%,8.00,Pembelian,823.400K,244.555B,81.80,1.05,595.00,Kontener/Kemasan
" TBLA TUNAS BARU LAMPUNG TBK. ",560.00,4.67%,25.00,Pembelian,3.766M,2510.790B,3.48,135.12,3587.00,Komoditas/Penggilingan Agrikultur
" TDPM TRIDOMAIN PERFORMANCE MATERIALS TBK. ",150.00,-6.25%,-10.00,Penjualan Kuat,824.400K,1709.070B,—,—,412.00,Bahan Kimia: Diversifikasi Utama
" TFCO TIFICO FIBER INDONESIA TBK. ",232.00,10.48%,22.00,Penjualan,200,1012.850B,—,-8.03,1084.00,Tekstil
" TKIM PABRIK KERTAS TJIWI KIMIA TBK. ",5300.00,1.44%,75.00,Penjualan,6.524M,12079.300B,6.11,683.89,7000.00,Pulp & Kertas
" TPIA CHANDRA ASRI PETROCHEMICAL TBK. ",7225.00,-1.03%,-75.00,Penjualan,6.332M,93625.900B,311.60,18.37,2273.00,Spesialisasi Industri
" TRST TRIAS SENTOSA TBK. ",360.00,0.00%,0.00,Penjualan,1.100K,982.800B,12.73,27.49,1081.00,Kontener/Kemasan
" UNSP BAKRIE SUMATERA PLANTATIONS TBK. ",51.00,-1.92%,-1.00,Penjualan,513.100K,125.008B,—,-212.29,8512.00,Komoditas/Penggilingan Agrikultur
" AMIN ATELIERS MECANIQUES D INDONESIE TBK. ",342.00,20.42%,58.00,Penjualan,2.500K,306.720B,17.28,16.32,430.00,Mesin-mesin Industri
" APII ARITA PRIMA INDONESIA TBK. ",220.00,0.00%,0.00,Pembelian Kuat,100,236.667B,7.61,28.92,370.00,Mesin-mesin Industri
" ARKA ARKHA JAYANTI PERSADA TBK. ",1490.00,-6.88%,-110.00,Penjualan Kuat,1.600K,2980.000B,—,—,103.00,Fabrikasi Logam
" ARNA ARWANA CITRAMULIA TBK. ",348.00,0.00%,0.00,Penjualan,1.127M,2549.740B,11.83,29.40,2193.00,Produk-Produk Bangunan
" AUTO ASTRA OTOPARTS TBK. ",845.00,0.60%,5.00,Penjualan,3.170M,3711.190B,5.05,153.47,9905.00,Suku Cadang Mobil: OEM
" BNBR BAKRIE & BROTHERS TBK ",50.00,0.00%,0.00,Penjualan,52.600K,1043.150B,0.86,58.40,2733.00,Konglomerat Industri
" BOLT GARUDA METALINDO TBK. ",760.00,0.00%,0.00,Penjualan,100,1781.250B,35.74,21.27,1656.00,Suku Cadang Mobil: OEM
" CCSI COMMUNICATION CABLE SYSTEMS INDONESIA TBK. ",220.00,10.00%,20.00,Pembelian,3.838M,—,—,—,—,Produk-Produk Elektrikal
" CSIS CAHAYASAKTI INVESTINDO SUKSES TBK. ",50.00,-1.96%,-1.00,Penjualan,2.489M,65.350B,—,-19.19,15.00,Perlengkapan/Suplai Perkantoran
" ESIP SINERGI INTI PLASTINDO TBK. ",169.00,-2.31%,-4.00,Pembelian,69.100K,—,—,—,—,Manufaktur Lain-Lain
" GEMA GEMA GRAHASARANA TBK. ",326.00,-6.86%,-24.00,Penjualan,20.000K,560.000B,24.10,14.52,751.00,Perlengkapan/Suplai Perkantoran
" HKMU HK METALS UTAMA TBK. ",117.00,-0.85%,-1.00,Penjualan,6.367M,235.188B,3.22,29.22,—,Fabrikasi Logam
" IKAI INTIKERAMIK ALAMASRI INDUSTRI TBK. ",50.00,0.00%,0.00,Penjualan,400,665.290B,—,-1.41,199.00,Produk-Produk Bangunan
" IMPC IMPACK PRATAMA INDUSTRI TBK. ",1065.00,0.00%,0.00,Pembelian,477.600K,5099.340B,50.67,20.82,1553.00,Manufaktur Lain-Lain
" INDS INDOSPRING TBK. ",1740.00,2.35%,40.00,Pembelian,300,951.562B,25.25,61.40,1766.00,Suku Cadang Mobil: OEM
" JECC JEMBO CABLE COMPANY TBK. ",7000.00,11.11%,700.00,Pembelian Kuat,5.100K,1058.400B,11.40,552.72,978.00,Produk-Produk Elektrikal
" KBLM KABELINDO MURNI TBK. ",236.00,-6.35%,-16.00,Penjualan,153.700K,273.280B,—,—,313.00,Produk-Produk Elektrikal
" KIAS KERAMIKA INDONESIA ASSOSIASI TBK. ",50.00,0.00%,0.00,Penjualan,642.100K,746.455B,—,-20.82,1485.00,Produk-Produk Bangunan
" KMTR KIRANA MEGATARA TBK. ",258.00,29.00%,58.00,Pembelian,25.100K,1823.810B,108.37,1.92,5753.00,Manufaktur Lain-Lain
" KPAL STEADFAST MARINE TBK. ",107.00,-0.93%,-1.00,Penjualan,435.200K,118.660B,9.54,11.13,365.00,Mesin-Mesin Truk/Konstruksi/Pertanian
" KRAH GRAND KARTECH TBK. ",396.00,-6.60%,-28.00,Penjualan,4.300K,505.019B,—,-94.70,884.00,Mesin-mesin Industri
" LMSH LIONMESH PRIMA TBK. ",306.00,-6.13%,-20.00,Penjualan,15.900K,38.400B,—,-133.88,119.00,Fabrikasi Logam
" LPIN MULTI PRIMA SEJAHTERA TBK ",170.00,0.00%,0.00,Penjualan,800,72.250B,2.26,75.13,146.00,Manufaktur Lain-Lain
" PORT NUSANTARA PELABUHAN HANDAL TBK. ",575.00,-0.86%,-5.00,Penjualan,20.200K,1618.020B,46.65,12.43,681.00,Fabrikasi Logam
" PRAS PRIMA ALLOY STEEL UNIVERSAL TBK. ",169.00,5.62%,9.00,Pembelian Kuat,34.000K,112.167B,—,-5.51,488.00,Fabrikasi Logam
" PURE TRINITAN METALS AND MINERALS TBK. ",107.00,-5.31%,-6.00,Pembelian,10.659M,—,—,—,—,Fabrikasi Logam
" SCCO SUPREME CABLE MANUFACTURING & COMMERCE TBK. ",9200.00,0.00%,0.00,Pembelian Kuat,200,1870.810B,5.93,1533.33,844.00,Produk-Produk Elektrikal
" TIRA TIRA AUSTENITE TBK ",274.00,-5.52%,-16.00,Pembelian,3.200K,172.872B,102.43,2.83,471.00,Mesin-mesin Industri
" TOTO SURYA TOTO INDONESIA TBK. ",216.00,1.89%,4.00,Pembelian,87.800K,1960.800B,9.52,19.95,4382.00,Produk-Produk Bangunan
" VOKS VOKSEL ELECTRIC TBK. ",270.00,1.50%,4.00,Penjualan,6.800K,1080.460B,5.40,48.90,—,Produk-Produk Elektrikal
" ACES ACE HARDWARE INDONESIA TBK. ",1325.00,1.53%,20.00,Penjualan,16.577M,22081.200B,21.15,58.17,15707.00,Rantai Perbaikan Rumah
" AMRT SUMBER ALFARIA TRIJAYA TBK. ",810.00,1.89%,15.00,Pembelian,320.400K,31351.000B,29.67,26.79,59214.00,Ritel Makanan
" BOGA BINTANG OTO GLOBAL TBK. ",1550.00,0.00%,0.00,Penjualan,52.000K,5895.470B,433.45,3.58,195.00,Toko-Toko Khusus
" CARS INDUSTRI DAN PERDAGANGAN BINTRACO DHARMA TBK. ",65.00,-5.80%,-4.00,Penjualan,10.155M,750.000B,5.90,10.17,2743.00,Toko-Toko Khusus
" DNET INDORITEL MAKMUR INTERNASIONAL TBK. ",3500.00,0.00%,0.00,Pembelian,100,49644.000B,115.40,30.33,86.00,Ritel Makanan
" ECII ELECTRONIC CITY INDONESIA TBK. ",750.00,-3.85%,-30.00,Penjualan,26.400K,1004.210B,28.85,27.04,—,Toko Elektronik/Perkakas
" GLOB GLOBAL TELESHOP TBK. ",350.00,0.00%,0.00,Penjualan,100,388.889B,—,-31.15,30.00,Toko Elektronik/Perkakas
" HERO HERO SUPERMARKET TBK. ",805.00,0.62%,5.00,Penjualan,900,3472.410B,46.79,16.88,9917.00,Ritel Makanan
" KIOS KIOSON KOMERSIAL INDONESIA TBK. ",180.00,0.00%,0.00,Penjualan,1.600K,131.255B,—,-1.40,75.00,Distribusi Katalog/Khusus
" KONI PERDANA BANGUN PUSAKA TBK ",494.00,-6.79%,-36.00,Penjualan,400,75.088B,28.10,17.58,217.00,Toko Elektronik/Perkakas
" LPPF MATAHARI DEPARTMENT STORE TBK. ",1415.00,10.12%,130.00,Penjualan,34.758M,3522.320B,2.55,503.59,—,Toko Serba Ada
" MAPI MITRA ADIPERKASA TBK. ",605.00,7.08%,40.00,Penjualan,43.749M,7773.620B,9.15,49.64,24219.00,Toko Serba Ada
" MIDI MIDI UTAMA INDONESIA TBK. ",1250.00,4.17%,50.00,Pembelian,499.900K,3458.820B,17.03,70.45,—,Ritel Makanan
" MKNT MITRA KOMUNIKASI NUSANTARA TBK. ",50.00,0.00%,0.00,Penjualan,28.300K,250.000B,—,-20.76,233.00,Toko Elektronik/Perkakas
" MLPL MULTIPOLAR TBK. ",50.00,0.00%,0.00,Penjualan,8.284M,731.980B,—,-21.15,12305.00,Toko Serba Ada
" MPMX MITRA PINASTHIKA MUSTIKA TBK. ",595.00,4.39%,25.00,Pembelian,2.606M,1944.780B,4.44,102.34,2242.00,Toko-Toko Khusus
" MPPA MATAHARI PUTRA PRIMA TBK. ",90.00,3.45%,3.00,Netral,1.354M,632.449B,—,-110.00,9297.00,Toko Serba Ada
" PMJS PUTRA MANDIRI JEMBAR TBK. ",116.00,-0.85%,-1.00,Pembelian,587.800K,1389.320B,—,—,1900.00,Toko-Toko Khusus
" RALS RAMAYANA LESTARI SENTOSA TBK. ",630.00,1.61%,10.00,Penjualan,28.628M,2926.380B,4.57,99.74,7734.00,Toko Serba Ada
" RANC SUPRA BOGA LESTARI TBK. ",294.00,2.80%,8.00,Pembelian,800,422.412B,7.75,34.84,763.00,Ritel Makanan
" TURI TUNAS RIDEAN TBK. ",1300.00,2.36%,30.00,Pembelian,30.000K,7254.000B,12.45,104.43,3566.00,Toko-Toko Khusus
" ZONE MEGA PERINTIS TBK. ",428.00,0.00%,0.00,Penjualan,141.600K,372.433B,—,—,120.00,Ritel Pakaian/Alas Kaki
" ASGR ASTRA GRAPHIA TBK. ",850.00,-0.58%,-5.00,Penjualan,132.200K,1072.280B,4.25,186.09,1424.00,Jasa Prosesi Data
" DIGI ARKADIA DIGITAL MEDIA TBK. ",1700.00,0.29%,5.00,Penjualan,1.200K,549.250B,3927.49,0.43,83.00,Piranti Lunak/Layanan Internet
" DIVA DISTRIBUSI VOUCHER NUSANTARA TBK. ",930.00,-6.53%,-65.00,Penjualan,27.300K,764.286B,7.99,125.13,199.00,Piranti Lunak Kemasan
" ENVY ENVY TECHNOLOGIES INDONESIA TBK. ",100.00,-6.54%,-7.00,Penjualan,9.746M,—,—,—,—,Layanan Teknologi Informasi
" INDX TANAH LAUT TBK ",50.00,0.00%,0.00,Penjualan,200,21.896B,—,-103.76,8.00,Piranti Lunak/Layanan Internet
" LPLI STAR PACIFIC TBK ",76.00,-6.17%,-5.00,Penjualan,27.300K,93.634B,—,-11.21,310.00,Piranti Lunak/Layanan Internet
" LUCK SENTRAL MITRA INFORMATIKA TBK. ",414.00,-2.36%,-10.00,Penjualan,2.059M,—,—,—,—,Layanan Teknologi Informasi
" MCAS M CASH INTEGRASI TBK. ",1000.00,3.63%,35.00,Penjualan,141.800K,867.933B,2.83,359.21,104.00,Layanan Teknologi Informasi
" MLPT MULTIPOLAR TECHNOLOGY TBK. ",386.00,-2.03%,-8.00,Pembelian,7.500K,678.750B,4.64,73.21,566.00,Layanan Teknologi Informasi
" NFCX NFC INDONESIA TBK. ",2300.00,-0.43%,-10.00,Penjualan,13.400K,1513.340B,20.91,108.58,44.00,Piranti Lunak/Layanan Internet
" PGJO TOURINDO GUIDE INDONESIA TBK. ",97.00,3.19%,3.00,Pembelian Kuat,400,—,—,—,—,Piranti Lunak Kemasan
" TFAS TELEFAST INDONESIA TBK. ",172.00,-6.52%,-12.00,Pembelian,444.100K,—,—,—,—,Piranti Lunak Kemasan
" YELO YELOOO INTEGRA DATANET TBK. ",50.00,0.00%,0.00,Penjualan,35.200K,19.002B,—,—,49.00,Piranti Lunak Kemasan
" ASSA ADI SARANA ARMADA TBK. ",318.00,0.00%,0.00,Penjualan,6.646M,937.710B,8.27,36.77,766.00,Transportasi Lainnya
" BESS BATULICIN NUSANTARA MARITIM TBK. ",250.00,-6.72%,-18.00,Pembelian,21.595M,—,—,—,—,Pengiriman Laut
" BIRD BLUE BIRD TBK. ",1000.00,-1.48%,-15.00,Penjualan,3.390M,2289.420B,7.68,125.72,3547.00,Transportasi Lainnya
" BLTA BERLIAN LAJU TANKER TBK ",50.00,0.00%,0.00,Penjualan,100,1257.500B,121.42,—,68.00,Angkutan/Kurir Udara
" BULL BUANA LINTAS LAUTAN TBK. ",162.00,-0.61%,-1.00,Pembelian,83.063M,1772.280B,—,—,178.00,Pengiriman Laut
" CASS CARDIG AERO SERVICES TBK. ",540.00,-5.26%,-30.00,Penjualan,300,1126.950B,75.08,7.19,2279.00,Transportasi Lainnya
" CMNP CITRA MARGA NUSAPHALA PERSADA TBK. ",1595.00,-0.31%,-5.00,Penjualan,3.000K,5793.330B,7.49,213.64,405.00,Transportasi Lainnya
" DEAL DEWATA FREIGHTINTERNATIONAL TBK. ",135.00,10.66%,13.00,Penjualan,17.019M,122.337B,—,—,143.00,Perusahaan Penerbangan
" GIAA GARUDA INDONESIA (PERSERO) TBK. ",218.00,3.81%,8.00,Penjualan,31.701M,4711.360B,44.59,4.10,15623.00,Perusahaan Penerbangan
" HELI JAYA TRISHINDO TBK. ",178.00,-5.82%,-11.00,Pembelian,723.100K,143.325B,9.15,19.12,25.00,Perusahaan Penerbangan
" HITS HUMPUSS INTERMODA TRANSPORTASI TBK. ",600.00,0.00%,0.00,Pembelian,1.500K,4273.490B,27.15,21.55,190.00,Pengiriman Laut
" IATA INDONESIA TRANSPORT & INFRASTRUCTURE TBK. ",50.00,0.00%,0.00,Penjualan,400,534.885B,—,-3.98,135.00,Perusahaan Penerbangan
" INPS INDAH PRAKASA SENTOSA TBK. ",3540.00,-0.28%,-10.00,Penjualan,1.206M,2275.000B,—,-8.15,200.00,Angkutan/Kurir Udara
" IPCC INDONESIA KENDARAAN TERMINAL TBK. ",298.00,0.00%,0.00,Penjualan,15.337M,483.689B,3.77,74.19,74.00,Pengiriman Laut
" IPCM JASA ARMADA INDONESIA TBK. ",140.00,10.24%,13.00,Pembelian,203.200K,639.462B,7.34,17.04,219.00,Transportasi Lainnya
" JAYA ARMADA BERJAYA TRANS TBK. ",55.00,0.00%,0.00,Penjualan,530.000K,19.875B,13.24,3.93,39.00,Truk
" JSMR JASA MARGA ",3200.00,-3.03%,-100.00,Penjualan,17.906M,18144.700B,9.76,266.42,7001.00,Transportasi Lainnya
" KARW ICTSI JASA PRIMA TBK. ",50.00,0.00%,0.00,Penjualan,11.200K,29.358B,—,-4.05,2.00,Angkutan/Kurir Udara
