NO PENERBANGAN,,TANGGAL PENERBANGAN,DARI,MENUJU,,STD,ATD,STA,,STATUS KEDATANGAN,AIRCRAFT,AIRLINE,OPERATOR,TYPE CODE,CODE1,CODE2,MODE S
" K4751 "," "," 06 Apr 2020 "," Cincinnati (CVG) "," Brussels (BRU) ",7:10," 22:05 "," 22:10 "," 06:05 ",," Landed 05:20 "," Boeing 777-F "," DHL "," Kalitta Air "," B77L "," D0 / DHK "," K4 / CKS "," AA7468 "
" K4258 "," "," 06 Apr 2020 "," Chicago (ORD) "," Cincinnati (CVG) ",0:40," 02:00 "," 01:38 "," 02:19 ",," Landed 02:18 "," Boeing 777-F "," DHL "," Kalitta Air "," B77L "," D0 / DHK "," K4 / CKS "," AA7468 "
" K4258 "," "," 05 Apr 2020 "," Anchorage (ANC) "," Cincinnati (CVG) ",—," 14:05 "," 14:36 "," 20:15 ",," Diverted to ORD "," Boeing 777-F "," DHL "," Kalitta Air "," B77L "," D0 / DHK "," K4 / CKS "," AA7468 "
" K4258 "," "," 05 Apr 2020 "," New York (JFK) "," Cincinnati (CVG) ",—," 06:05 "," — "," 08:05 ",," Unknown "," Boeing 777-F "," DHL "," Kalitta Air "," B77L "," D0 / DHK "," K4 / CKS "," AA7468 "
" K4258 "," "," 05 Apr 2020 "," Hong Kong (HKG) "," Anchorage (ANC) ",8:36," 02:30 "," 03:55 "," 12:35 ",," Landed 12:31 "," Boeing 777-F "," DHL "," Kalitta Air "," B77L "," D0 / DHK "," K4 / CKS "," AA7468 "
" K4232 "," "," 04 Apr 2020 "," Singapore (SIN) "," Hong Kong (HKG) ",3:08," — "," 21:35 "," — ",," Landed 00:43 "," Boeing 777-F "," DHL "," Kalitta Air "," B77L "," D0 / DHK "," K4 / CKS "," AA7468 "
" K4232 "," "," 04 Apr 2020 "," Sydney (SYD) "," Singapore (SIN) ",7:24," — "," 11:50 "," — ",," Landed 19:13 "," Boeing 777-F "," DHL "," Kalitta Air "," B77L "," D0 / DHK "," K4 / CKS "," AA7468 "
" K4232 "," "," 03 Apr 2020 "," Los Angeles (LAX) "," Sydney (SYD) ",14:25," 17:04 "," 18:46 "," 07:52 ",," Landed 09:11 "," Boeing 777-F "," DHL "," Kalitta Air "," B77L "," D0 / DHK "," K4 / CKS "," AA7468 "
" K4232 "," "," 03 Apr 2020 "," Cincinnati (CVG) "," Nagoya (NGO) ",—," 14:00 "," 12:08 "," 02:50 ",," Diverted to LAX "," Boeing 777-F "," DHL "," Kalitta Air "," B77L "," D0 / DHK "," K4 / CKS "," AA7468 "
" TK6343 "," "," 09 Apr 2020 "," Tel Aviv (TLV) "," Istanbul (ISL) ",1:41," 16:30 "," 03:26 "," 19:40 ",," Landed 05:07 "," Boeing 777-F "," Turkish Cargo "," Turkish Airlines "," B77L "," TK / THY "," TK / THY "," 4BB153 "
" TK6342 "," "," 09 Apr 2020 "," Istanbul (ISL) "," Tel Aviv (TLV) ",1:30," 14:00 "," 23:33 "," 15:00 ",," Landed 01:04 "," Boeing 777-F "," Turkish Cargo "," Turkish Airlines "," B77L "," TK / THY "," TK / THY "," 4BB153 "
" TK6430 "," "," 08 Apr 2020 "," Paris (CDG) "," Istanbul (ISL) ",3:00," 16:55 "," 19:18 "," 21:20 ",," Landed 22:18 "," Boeing 777-F "," Turkish Cargo "," Turkish Airlines "," B77L "," TK / THY "," TK / THY "," 4BB153 "
" TK6429 "," "," 08 Apr 2020 "," Istanbul (ISL) "," Paris (CDG) ",2:56," 12:50 "," 13:30 "," 15:25 ",," Landed 16:26 "," Boeing 777-F "," Turkish Cargo "," Turkish Airlines "," B77L "," TK / THY "," TK / THY "," 4BB153 "
" TK6527 "," "," 08 Apr 2020 "," Bishkek (FRU) "," Istanbul (ISL) ",4:42," 02:40 "," 02:13 "," 08:25 ",," Landed 06:55 "," Boeing 777-F "," Turkish Cargo "," Turkish Airlines "," B77L "," TK / THY "," TK / THY "," 4BB153 "
" TK6527 "," "," 07 Apr 2020 "," Shanghai (PVG) "," Istanbul (ISL) ",—," 18:10 "," 18:16 "," 08:45 ",," Diverted to FRU "," Boeing 777-F "," Turkish Cargo "," Turkish Airlines "," B77L "," TK / THY "," TK / THY "," 4BB153 "
" TK6526 "," "," 07 Apr 2020 "," Bishkek (FRU) "," Shanghai (PVG) ",5:32," — "," 09:28 "," — ",," Landed 15:00 "," Boeing 777-F "," Turkish Cargo "," Turkish Airlines "," B77L "," TK / THY "," TK / THY "," 4BB153 "
" TK6526 "," "," 07 Apr 2020 "," Istanbul (ISL) "," Almaty (ALA) ",—," 03:50 "," 03:49 "," 16:10 ",," Diverted to FRU "," Boeing 777-F "," Turkish Cargo "," Turkish Airlines "," B77L "," TK / THY "," TK / THY "," 4BB153 "
" TK6640 "," "," 06 Apr 2020 "," Dakar (DSS) "," Istanbul (ISL) ",6:27," — "," 08:00 "," — ",," Landed 14:27 "," Boeing 777-F "," Turkish Cargo "," Turkish Airlines "," B77L "," TK / THY "," TK / THY "," 4BB153 "
" TK6640 "," "," 06 Apr 2020 "," — "," Dakar (DSS) ",5:57," — "," 00:13 "," — ",," Landed 06:10 "," Boeing 777-F "," Turkish Cargo "," Turkish Airlines "," B77L "," TK / THY "," TK / THY "," 4BB153 "
" TK6639 "," "," 05 Apr 2020 "," Dakar (DSS) "," — ",—," — "," 13:38 "," — ",," Unknown "," Boeing 777-F "," Turkish Cargo "," Turkish Airlines "," B77L "," TK / THY "," TK / THY "," 4BB153 "
" TK6639 "," "," 05 Apr 2020 "," Istanbul (ISL) "," Dakar (DSS) ",6:36," — "," 04:37 "," — ",," Landed 11:12 "," Boeing 777-F "," Turkish Cargo "," Turkish Airlines "," B77L "," TK / THY "," TK / THY "," 4BB153 "
" TK6489 "," "," 03 Apr 2020 "," Hong Kong (HKG) "," Istanbul (ISL) ",11:41," — "," 21:10 "," — ",," Landed 08:51 "," Boeing 777-F "," Turkish Cargo "," Turkish Airlines "," B77L "," TK / THY "," TK / THY "," 4BB153 "
" TK6488 "," "," 03 Apr 2020 "," Navoiy (NVI) "," Hong Kong (HKG) ",6:09," — "," 12:50 "," — ",," Landed 18:59 "," Boeing 777-F "," Turkish Cargo "," Turkish Airlines "," B77L "," TK / THY "," TK / THY "," 4BB153 "
" TK6488 "," "," 03 Apr 2020 "," Istanbul (ISL) "," Navoiy (NVI) ",3:33," — "," 07:41 "," — ",," Landed 11:14 "," Boeing 777-F "," Turkish Cargo "," Turkish Airlines "," B77L "," TK / THY "," TK / THY "," 4BB153 "
" QR8132 "," "," 10 Apr 2020 "," Dallas (DFW) "," Maastricht (MST) ",—," 03:05 "," 03:59 "," 12:40 ",," Estimated 12:43 "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" QR8131 "," "," 09 Apr 2020 "," Atlanta (ATL) "," Dallas (DFW) ",2:03," 22:40 "," 23:19 "," 01:05 ",," Landed 01:22 "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
